searge,mcp,side,desc
field_193451_b,listeners,2,
field_193202_a,distance,2,
field_193203_b,duration,2,
field_193202_a,distance,2,
field_193203_b,duration,2,
field_193455_a,ANY,2,
field_193456_b,biome,2,
field_193457_c,x,2,
field_193458_d,y,2,
field_193459_e,z,2,
field_193460_f,feature,2,
field_193461_g,dimension,2,
field_193455_a,ANY,2,
field_193457_c,x,2,
field_193458_d,y,2,
field_193459_e,z,2,
field_193456_b,biome,2,
field_193460_f,feature,2,
field_193461_g,dimension,2,
field_192217_a,id,2,
field_192218_b,listeners,2,
field_192217_a,id,2,
field_192218_b,listeners,2,
field_192511_a,playerAdvancements,2,
field_192512_b,listeners,2,
field_192511_a,playerAdvancements,2,
field_192512_b,listeners,2,
field_193205_a,location,2,
field_193205_a,location,2,
field_192516_a,UNBOUNDED,2,
field_192517_b,min,2,
field_192518_c,max,2,
field_192516_a,UNBOUNDED,2,
field_192517_b,min,2,
field_192518_c,max,2,
field_193473_a,ANY,2,
field_193474_b,effects,2,
field_193473_a,ANY,2,
field_193474_b,effects,2,
field_193465_a,amplifier,2,
field_193466_b,duration,2,
field_193467_c,ambient,2,
field_193468_d,visible,2,
field_193465_a,amplifier,2,
field_193466_b,duration,2,
field_193467_c,ambient,2,
field_193468_d,visible,2,
field_193479_a,ANY,2,
field_193480_b,tag,2,
field_193479_a,ANY,2,
field_193480_b,tag,2,
field_193169_a,ID,2,
field_193170_b,listeners,2,
field_193169_a,ID,2,
field_193170_b,listeners,2,
field_193485_a,playerAdvancements,2,
field_193486_b,listeners,2,
field_193485_a,playerAdvancements,2,
field_193486_b,listeners,2,
field_193207_a,entered,2,
field_193208_b,exited,2,
field_193209_c,distance,2,
field_193207_a,entered,2,
field_193208_b,exited,2,
field_193209_c,distance,2,
field_193174_a,ID,2,
field_193175_b,listeners,2,
field_193174_a,ID,2,
field_193175_b,listeners,2,
field_193491_a,playerAdvancements,2,
field_193492_b,listeners,2,
field_193491_a,playerAdvancements,2,
field_193492_b,listeners,2,
field_193211_a,block,2,
field_193212_b,properties,2,
field_193213_c,location,2,
field_193214_d,item,2,
field_193211_a,block,2,
field_193212_b,properties,2,
field_193213_c,location,2,
field_193214_d,item,2,
field_192222_a,ID,2,
field_192223_b,listeners,2,
field_192222_a,ID,2,
field_192223_b,listeners,2,
field_192523_a,playerAdvancements,2,
field_192524_b,listeners,2,
field_192523_a,playerAdvancements,2,
field_192524_b,listeners,2,
field_192279_a,damage,2,
field_192280_b,entity,2,
field_192279_a,damage,2,
field_192280_b,entity,2,
field_192227_a,ID,2,
field_192228_b,listeners,2,
field_192227_a,ID,2,
field_192228_b,listeners,2,
field_192529_a,playerAdvancements,2,
field_192530_b,listeners,2,
